cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B1C39,20,40,offset_median_all_a0p25,robust_offset,20,260,0.051871288470514212,0.054474466195892725,0.0026031777253785124,0.0026250354451651248,0.0026250354451651248
MATR_B1C4,20,40,offset_median_all_a0p25,robust_offset,20,260,0.051966589044992489,0.049431152169900863,-0.0025354368750916262,0.0027218707788563279,0.0027218707788563279
MATR_B1C41,20,40,offset_median_all_a0p25,robust_offset,20,260,0.018180669931304131,0.019374975247482676,0.0011943053161785448,0.0017168707446852949,0.0017168707446852949
MATR_B1C43,20,40,offset_median_all_a0p25,robust_offset,20,260,0.023551452666728232,0.020733284399375298,-0.0028181682673529343,0.0059595801488701028,0.0059595801488701028
MATR_B1C45,20,40,offset_median_all_a0p25,robust_offset,20,260,0.071284529695653409,0.069983492422742447,-0.0013010372729109626,0.0013530787638291741,0.0013530787638291741
MATR_B1C6,20,40,offset_median_all_a0p25,robust_offset,20,260,0.21049924867745187,0.22111665094995131,0.010617402272499438,0.010756345993288008,0.010756345993288008
MATR_B1C9,20,40,offset_median_all_a0p25,robust_offset,20,260,0.15649506053680612,0.15497323263804727,-0.0015218278987588485,0.0024492761089476289,0.0024492761089476289
MATR_B2C10,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1589997038398967,0.15466374080220416,-0.0043359630376925418,0.0083409906826528157,0.0083409906826528157
MATR_B2C12,20,40,offset_median_all_a0p25,robust_offset,20,260,0.53141324629220654,0.52662272962743084,-0.0047905166647757014,0.005295684568432435,0.005295684568432435
MATR_B2C14,20,40,offset_median_all_a0p25,robust_offset,20,260,0.083809735283776984,0.082455281745728443,-0.0013544535380485417,0.0014092178013864753,0.0014092178013864753
MATR_B2C18,20,40,offset_median_all_a0p25,robust_offset,20,260,0.18369633861266391,0.16512306138087457,-0.018573277231789337,0.020721753175513058,0.020721753175513058
MATR_B2C20,20,40,offset_median_all_a0p25,robust_offset,20,260,0.15089396474815184,0.13697589190271081,-0.013918072845441026,0.014514898527968612,0.014514898527968612
MATR_B2C22,20,40,offset_median_all_a0p25,robust_offset,20,260,0.088587497934417753,0.087115114579075045,-0.0014723833553427074,0.0023741213854684418,0.0023741213854684418
MATR_B2C24,20,40,offset_median_all_a0p25,robust_offset,20,260,0.054829308417408004,0.054094488234237847,-0.00073482018317015674,0.002950349127518237,0.002950349127518237
MATR_B2C26,20,40,offset_median_all_a0p25,robust_offset,20,260,0.28613145498054793,0.29638908855516871,0.010257633574620784,0.011651132755803317,0.011651132755803317
MATR_B2C28,20,40,offset_median_all_a0p25,robust_offset,20,260,0.58899081065455339,0.58768029522596521,-0.001310515428588177,0.0015506819208823686,0.0015506819208823686
MATR_B2C3,20,40,offset_median_all_a0p25,robust_offset,20,260,2.2819383180416737,2.2743830377176879,-0.0075552803239857802,0.0081263219402920583,0.0081263219402920583
MATR_B2C30,20,40,offset_median_all_a0p25,robust_offset,20,260,0.12352646501481716,0.12727958615235577,0.0037531211375386037,0.0039451287887324327,0.0039451287887324327
MATR_B2C32,20,40,offset_median_all_a0p25,robust_offset,20,260,0.60779579234836212,0.60583086228686289,-0.001964930061499226,0.0023675536801004426,0.0023675536801004426
MATR_B2C34,20,40,offset_median_all_a0p25,robust_offset,20,260,0.58855850026924439,0.59428889603173873,0.0057303957624943447,0.0063776101246801886,0.0063776101246801886
MATR_B2C36,20,40,offset_median_all_a0p25,robust_offset,20,260,0.062979022652036379,0.056432698362505432,-0.006546324289530947,0.011805241490513652,0.011805241490513652
MATR_B2C38,20,40,offset_median_all_a0p25,robust_offset,20,260,0.069026441408383696,0.070138549277056664,0.001112107868672968,0.0021543247510038555,0.0021543247510038555
MATR_B2C40,20,40,offset_median_all_a0p25,robust_offset,20,260,0.093548310305255289,0.086330663099749377,-0.0072176472055059115,0.014259192527026343,0.014259192527026343
MATR_B2C42,20,40,offset_median_all_a0p25,robust_offset,20,260,0.17593621298374537,0.16995670568731935,-0.0059795072964260176,0.0066703328146164864,0.0066703328146164864
MATR_B2C44,20,40,offset_median_all_a0p25,robust_offset,20,260,0.38592920168402484,0.39131985578679335,0.0053906541027685106,0.0058109405269561876,0.0058109405269561876
MATR_B2C46,20,40,offset_median_all_a0p25,robust_offset,20,260,0.12928406620826838,0.1293927719366646,0.00010870572839621895,0.00011875415707329751,0.00011875415707329751
MATR_B2C47,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1957364389752265,0.20724974980007463,0.011513310824848133,0.012025629420573836,0.012025629420573836
MATR_B2C5,20,40,offset_median_all_a0p25,robust_offset,20,260,0.061960759535225771,0.061952764883158602,-7.994652067168373e-06,9.8981406537745897e-06,9.8981406537745897e-06
MATR_B3C0,20,40,offset_median_all_a0p25,robust_offset,20,260,0.028878094256591862,0.032811558515536084,0.0039334642589442213,0.0098048320464450001,0.0098048320464450001
MATR_B3C1,20,40,offset_median_all_a0p25,robust_offset,20,260,0.14187667162138895,0.1376758707597785,-0.0042008008616104542,0.0056690970426060971,0.0056690970426060971
MATR_B3C10,20,40,offset_median_all_a0p25,robust_offset,20,260,0.51471797837211763,0.47738158778398265,-0.037336390588134982,0.039396239458014293,0.039396239458014293
MATR_B3C11,20,40,offset_median_all_a0p25,robust_offset,20,260,0.03838992460537375,0.037531806871475205,-0.00085811773389854462,0.00095962553614015178,0.00095962553614015178
MATR_B3C12,20,40,offset_median_all_a0p25,robust_offset,20,260,0.19908246498348567,0.19425573377090691,-0.0048267312125787609,0.0058372402704502946,0.0058372402704502946
MATR_B3C13,20,40,offset_median_all_a0p25,robust_offset,20,260,0.038850021044317194,0.038751051054330514,-9.8969989986680273e-05,0.00018121265772741424,0.00018121265772741424
MATR_B3C14,20,40,offset_median_all_a0p25,robust_offset,20,260,0.087000050844723315,0.081516461186017714,-0.005483589658705601,0.0058569626730751168,0.0058569626730751168
MATR_B3C15,20,40,offset_median_all_a0p25,robust_offset,20,260,0.066924603348537254,0.061096237318834914,-0.0058283660297023393,0.0065591981869275173,0.0065591981869275173
MATR_B3C16,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1454338118916059,0.14415980040112958,-0.0012740114904763178,0.0014192388723905935,0.0014192388723905935
