paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B2C36,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.32944380754240926,0.36199448059854017,0.37578436943381632
primary_test,MATR_B2C36,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.062979022652036379,0.094359725560360264,0.29577924537218792
primary_test,MATR_B2C36,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12430023918160107,0.21052966142290297,0.56465852054881793
primary_test,MATR_B2C36,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.067743256095886148,0.13330595519204358,0.25457815896352542
primary_test,MATR_B2C38,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.052407001411407708,0.072421622926246515,0.03964969353259562
primary_test,MATR_B2C38,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.069026441408383696,0.10334396779686819,0.13788478207972332
primary_test,MATR_B2C38,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.080800835978864838,0.13430946486895565,0.078145617374417498
primary_test,MATR_B2C38,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.033507393741986746,0.1184074194590774,0.0043237945486396256
primary_test,MATR_B2C40,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.31127035633124467,0.37779166616797905,0.49940257478729677
primary_test,MATR_B2C40,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.093548310305255289,0.18955414973539034,0.032368935864838022
primary_test,MATR_B2C40,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.13850411140361055,0.19097649045012552,0.22111414189579648
primary_test,MATR_B2C40,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.16860775809639997,0.20782823128580977,0.26668827402994566
primary_test,MATR_B2C42,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.18649442583020998,0.39781520827368089,0.13258590441570561
primary_test,MATR_B2C42,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.17593621298374537,0.41852607635265821,0.21069594012756454
primary_test,MATR_B2C42,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.16482570962194362,0.49285521475710536,0.20023019973783107
primary_test,MATR_B2C42,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.070059049185882641,0.5107353943878814,0.05112258737119646
primary_test,MATR_B2C44,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.26582419268049895,2.713359211080006,0.28458343094385441
primary_test,MATR_B2C44,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.38592920168402484,2.8336006896320152,0.46170794713907526
primary_test,MATR_B2C44,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.26103115660333054,2.9216085443769644,0.22135892772527654
primary_test,MATR_B2C44,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.32753754732520307,3.1820399169639537,0.21035053364602163
primary_test,MATR_B2C46,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.18351885417814995,0.27275250033916459,0.16815422296693328
primary_test,MATR_B2C46,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12928406620826838,0.19467280780138341,0.093889063990388877
primary_test,MATR_B2C46,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.073400706831832058,0.12415877430726087,0.29697852864089214
