cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,matched_naive_history_slope_delta_mae_pp,history_theil_slope_pp_per_cycle,reissue_shift_theil_slope_pp_per_cycle,bounded_unassimilated_slope_pp_per_cycle,projected_unassimilated_change_pp,absolute_history_spearman,history_slope_sign_agreement,unassimilated_history_slope_sign_agreement
MATR_B2C4,40,60,a0p1_d0p02_r0p5,40,False,0.26570402319791459,0.26570402319791459,0.0041843607281774609,0,0,-0.0006833301036352575,-0.0012130678350993369,0.00052973773146407937,0.010594754629281587,0.26165413533834586,True,False
MATR_B2C41,40,60,a0p1_d0p02_r0p5,40,False,0.10885710849708155,0.10885710849708155,0.0094340605806950834,0,0,-0.0014557619598420072,-0.0026720218947711787,0.0012162599349291715,0.02432519869858343,0.39097744360902253,False,False
MATR_B2C43,40,60,a0p1_d0p02_r0p5,40,False,0.026531201063212547,0.026531201063212547,0.0018208176808165895,0,0,-0.00059354583367958002,-0.00092909898400554106,0.00033555315032596103,0.0067110630065192207,0.31729323308270674,True,False
MATR_B2C45,40,60,a0p1_d0p02_r0p5,40,False,0.11205117839226161,0.11205117839226161,-0.0097293452680389109,0,0,0.00043377285390590401,0.0012752903918651698,-0.00084151753795926574,0.016830350759185316,0.17593984962406017,False,False
MATR_B2C6,40,60,no_update,40,False,0.73156163482937486,0.73156163482937486,0,0,0,-0.0033888113085426752,-0.00066105631189461618,-0.002727754996648059,0.054555099932961176,0.85563909774436087,True,True
MATR_B1C1,60,100,a0p5_d0p01_r0p0,40,False,0.015272746986010546,0.015272746986010546,0.034098754933501778,0,0,3.9887475525783131e-05,0.0010247503950758922,-0.00098486291955010899,0.039394516782004362,0.045403377110694192,True,False
MATR_B1C11,60,100,a0p5_d0p01_r0p0,40,False,0.025372970837373075,0.025372970837373075,0.010755745977741357,0,0,0.00015528333516882131,-9.4100421128359598e-05,0.00024938375629718091,0.0099753502518872359,0.0016885553470919327,True,True
MATR_B1C15,60,100,a0p5_d0p01_r0p0,40,False,0.066659119260425323,0.066659119260425323,-0.025198343527210405,0,0,-0.00071968336466458817,-0.00020461601459968872,-0.00051506735006489951,0.02060269400259598,0.74090056285178241,False,True
MATR_B1C17,60,100,a0p5_d0p01_r0p0,40,False,0.020693679898520115,0.020693679898520115,0.11274720931393339,0,0,-0.0033162636203096412,-0.0056666337989223674,0.0023503701786127262,0.094014807144509049,0.97279549718574121,True,False
MATR_B1C19,60,100,a0p5_d0p01_r0p0,40,False,0.039933877521312271,0.039933877521312271,0.0049914168135629933,0,0,-0.00022930932112224381,-0.00034943911619021923,0.00012012979506797542,0.0048051918027190166,0.24221388367729837,True,False
MATR_B1C21,60,100,a0p5_d0p01_r0p0,40,True,0.33366016873665749,0.26284759647133349,-0.070812572265324003,-0.070812572265324003,-0.073324606084144595,-0.0015188887092597481,-5.5044968077751029e-05,-0.0014638437411819971,0.058553749647279885,0.63076923076923086,True,True
MATR_B1C24,60,100,a0p5_d0p01_r0p0,40,False,0.066661887291639771,0.066661887291639771,-0.045849469250186133,0,0,-0.00089877612616349415,-0.0021933629115510802,0.001294586785387586,0.051783471415503442,0.65722326454033775,True,False
